Province/State,Country/Region,First confirmed date in country (Est.),Lat,Long,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,02/01/2020,02/02/2020,02/03/2020,02/04/2020
2,Anhui,01/03/2020,31.82571,117.2264,,1,9,15,60,70,106,152,200,200,237,297,408,480,530
3,Beijing,01/03/2020,40.18238,116.4142,10,14,22,36,51,68,80,91,111,114,139,168,191,212,228
4,Chongqing,01/03/2020,30.05718,107.874,5,6,9,27,75,110,132,147,165,182,238,247,300,337,366
5,Fujian,01/03/2020,26.07783,117.9895,,1,5,10,18,35,59,82,101,101,120,144,159,179,194
6,Gansu,01/03/2020,36.0611,103.8343,,,2,2,7,14,19,24,26,26,35,35,51,55,57
7,Guangdong,01/03/2020,23.33841,113.422,17,26,32,53,98,146,151,241,311,354,436,535,683,725,870
8,Guangxi,01/03/2020,23.82908,108.7881,,2,5,23,33,46,51,58,78,78,88,100,127,139,150
9,Guizhou,01/03/2020,26.81536,106.8748,,1,3,3,5,7,9,9,12,12,29,29,46,56,64
10,Hainan,01/03/2020,19.19673,109.7455,,4,5,8,19,22,33,43,43,46,58,62,71,79,91
11,Hebei,01/03/2020,38.0428,114.5149,,1,1,2,13,18,33,48,65,65,96,96,113,126,135
12,Heilongjiang,01/03/2020,47.862,127.7622,,,2,4,15,21,30,37,43,44,59,80,95,155,190
13,Henan,01/03/2020,33.88202,113.614,,5,5,9,83,128,168,206,278,278,352,422,566,675,764
14,Hubei,01/03/2020,30.97564,112.2707,270,444,444,549,1052,1423,2714,3554,4586,4903,7153,7153,11177,13522,16678
15,Hunan,01/03/2020,27.61041,111.7088,1,4,9,24,69,100,100,221,277,277,332,389,521,521,661
16,Inner Mongolia,01/03/2020,44.09448,113.9456,,,,1,7,11,11,16,16,19,20,23,27,34,42
17,Jiangsu,01/03/2020,32.97027,119.464,,1,5,9,31,47,70,99,129,129,168,202,271,308,341
18,Jiangxi,01/03/2020,27.61401,115.7221,2,2,7,18,36,48,72,109,162,162,240,286,391,391,548
19,Jilin,01/03/2020,43.66657,126.1917,,,1,3,4,6,6,9,14,14,14,17,31,42,54
20,Liaoning,01/03/2020,41.29284,122.6086,,2,3,4,19,23,27,36,39,41,60,63,70,74,81
21,Ningxia,01/03/2020,37.26923,106.1655,,1,1,2,4,4,7,12,12,17,21,26,28,31,34
22,Qinghai,01/03/2020,35.65945,96.02564,,,,,1,4,6,6,6,8,8,9,11,13,17
23,Shaanxi,01/03/2020,35.19165,108.8701,,,3,5,15,22,35,56,56,63,87,101,116,128,81
24,Shandong,01/03/2020,36.34377,118.1529,1,2,6,15,39,63,87,121,145,158,184,206,246,270,298
25,Shanghai,01/03/2020,31.20327,121.4554,9,9,16,20,40,53,66,80,101,112,153,169,193,208,233
26,Shanxi,01/03/2020,37.57769,112.2922,,1,1,1,9,13,20,27,35,35,47,47,66,74,165
27,Sichuan,01/03/2020,30.61714,102.7103,2,5,8,15,44,69,90,108,142,142,177,207,254,254,301
28,Tianjin,01/03/2020,39.29362,117.333,2,4,4,8,13,14,23,25,27,31,32,38,48,60,67
29,Tibet,01/03/2020,30.1534,88.7879,,,,,,,,,1,1,1,1,1,1,1
30,Xinjiang,01/03/2020,41.11981,85.17822,,,2,2,4,5,5,13,14,14,17,18,24,24,32
31,Yunnan,01/03/2020,24.97411,101.4868,1,1,2,5,11,19,26,44,55,70,83,91,105,117,122
32,Zhejiang,01/03/2020,29.18251,120.0985,5,10,27,43,104,128,173,296,428,428,537,599,724,724,895
33,,1/13/2020,13.7563,100.5018,2,2,3,5,7,8,8,14,14,14,19,19,19,19,25
34,,1/16/2020,35.6762,139.6503,1,2,2,2,2,4,4,7,11,11,17,17,20,20,22
35,,1/21/2020,37.5665,126.978,1,1,1,2,2,3,4,4,4,4,11,12,15,15,16
36,Taiwan,1/21/2020,23.6978,120.9605,1,1,1,3,3,4,5,8,8,9,10,10,10,10,11
37,Washington,1/21/2020,47.7511,-120.74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,Illinois,1/24/2020,40.6331,-89.3985,,,,1,1,1,1,1,1,1,2,2,2,2,2
39,California,1/26/2020,36.7783,-119.418,,,,,,2,2,2,2,2,3,3,4,4,6
40,Arizona,1/26/2020,34.0489,-111.094,,,,,,1,1,1,1,1,1,1,1,1,1
41,Macau,1/22/2020,22.1987,113.5439,,1,2,2,2,6,6,7,7,7,7,7,8,8,10
42,Hong Kong,1/23/2020,22.3193,114.1694,,,2,2,5,8,8,8,10,10,13,13,15,15,18
43,,1/23/2020,1.3521,103.8198,,,1,3,3,4,5,7,10,10,16,18,18,18,24
44,,1/23/2020,21.0278,105.8342,,,2,2,2,2,2,2,2,2,2,6,6,8,8
45,,1/24/2020,46.2276,2.2137,,,,2,3,3,3,4,5,5,6,6,6,6,6
46,,1/25/2020,28.3949,84.124,,,,,1,1,1,1,1,1,1,1,1,1,1
47,,1/25/2020,4.2105,101.9758,,,,,3,4,4,7,7,8,8,8,8,8,10
48,Ontario,1/26/2020,43.6532,-79.3832,,,,,,1,1,1,2,2,2,3,3,3,3
49,British Columbia,1/28/2020,49.2827,-123.121,,,,,,,,1,1,1,1,1,1,1,1
50,New South Wales,1/26/2020,-33.8688,151.2093,,,,,,3,3,3,4,4,4,4,4,4,4
51,Victoria,1/26/2020,-37.8136,144.9631,,,,,,1,1,1,2,3,3,4,4,4,4
52,Queensland,1/27/2020,-27.4698,153.0251,,,,,,,1,1,1,2,2,2,2,2,3
53,,1/27/2020,12.5657,104.991,,,,,,,1,1,1,1,1,1,1,1,1
54,,1/27/2020,7.8731,80.7718,,,,,,,1,1,1,1,1,1,1,1,1
55,,1/27/2020,51.1657,10.4515,,,,,,,1,4,4,4,7,7,10,10,12
56,,1/29/2020,61.9241,25.7482,,,,,,,,,1,1,1,1,1,1,1
57,,1/29/2020,23.4241,53.8478,,,,,,,,,4,4,4,4,5,5,5
58,,1/29/2020,12.8797,121.774,,,,,,,,,1,1,1,1,2,2,2
59,,1/29/2020,20.5937,78.9629,,,,,,,,,1,1,1,1,2,2,3
60,,1/31/2020,41.8719,12.5674,,,,,,,,,,,2,2,2,2,2
61,,1/31/2020,55.3781,-3.436,,,,,,,,,,,2,2,2,2,2
62,,1/31/2020,61.524,105.3188,,,,,,,,,,,2,2,2,2,2
63,,1/31/2020,60.1282,18.6435,,,,,,,,,,,1,1,1,1,1
64,,02/01/2020,40.4637,-3.7492,,,,,,,,,,,,1,1,1,1
65,South Australia,02/01/2020,-34.9285,138.6007,,,,,,,,,,,,2,2,2,2
66,"Boston, MA",02/02/2020,42.3601,-71.0589,,,,,,,,,,,,,1,1,1
