title,año,recaudado,ratio,gano_oscar,tomato,audience
The Godfather,1972,690,0.074916284,1,98,98
"The Godfather, Part II",1974,266,0.136920742,1,98,97
Jaws,1975,1103,0.089862247,0,98,90
Rocky,1976,477,0.066870679,1,94,69
Star Wars: Episode IV - A New Hope,1977,1798,0.063333997,0,92,96
Annie Hall,1977,152,0.315316687,1,98,92
Midnight Express,1978,130,0.050662182,0,96,89
Apocalypse Now,1979,16,0.027097146,0,98,94
Kramer vs. Kramer,1979,367,0.173487298,1,88,89
Ordinary People,1980,177,0.261030058,1,89,88
Coal Miner's Daughter,1980,258,0.493506494,0,86,86
On Golden Pond,1981,372,0.411745299,0,93,87
Raiders of the Lost Ark,1981,9,0.221261097,0,95,96
The Verdict,1982,159,0.065430338,0,88,88
Tootsie,1982,523,0.56162465,0,90,81
Terms of Endearment,1983,298,0.743589744,1,78,83
Witness,1985,160,0.316501198,0,93,80
Hannah and Her Sisters,1986,94,0.420385302,0,91,90
Platoon,1986,323,0,1,88,93
Broadcast News,1987,113,0.32931284,0,98,79
Moonstruck,1987,179,0.461604278,0,93,81
Working Girl,1988,135,0.688467246,0,84,67
Dead Poets Society,1989,210,0.044224366,0,84,92
Field of Dreams,1989,141,0.193794806,0,87,86
Born on the Fourth of July,1989,153,0.088739496,0,85,76
Dances with Wolves,1990,378,0.096433629,1,83,87
Ghost,1990,448,0.431797651,0,74,80
Goodfellas,1990,96,0.213208084,0,96,97
Awakenings,1990,107,0.202768456,0,88,89
JFK,1991,145,0.129408536,0,84,88
The Silence of the Lambs,1991,270,0.385485628,1,96,95
Beauty and the Beast,1991,452,0.282311251,0,94,92
A Few Good Men,1992,295,0.138268222,0,83,89
The Crying Game,1992,131,0.10035653,0,94,78
Unforgiven,1992,211,0.083123137,1,96,93
The Fugitive,1993,386,0.094803371,0,96,89
The Piano,1993,84,0.403805497,0,92,86
Schindler's List,1993,201,0,1,97,97
The Shawshank Redemption,1994,58,0,0,91,98
Quiz Show,1994,51,0.072634232,0,96,87
Forrest Gump,1994,686,0.170407041,1,71,95
Pulp Fiction,1994,224,0.236797467,0,92,96
Braveheart,1995,151,0.173647617,1,78,85
The English Patient,1996,154,0.240528912,1,85,83
Fargo,1996,48,0.273870574,0,94,93
Good Will Hunting,1997,261,0.149602785,0,97,94
As Good as It Gets,1997,280,0.347808208,0,85,86
L.A. Confidential,1997,122,0.118056288,0,99,94
Titanic,1997,1249,0.374400384,1,89,69
The Thin Red Line,1998,67,0,0,80,80
Shakespeare in Love,1998,185,0.250914569,1,92,80
